ID, UUID, Time (s), Siblings Left
279, 5cb53978-1bbc-5021-8bb9-86e5d850e863, 21600, 98
471, 9b33b038-1aa7-5ae1-9cc7-6fb8ef3d263a, 21600, 42
648, d4e6cc58-2179-5a97-b1b6-2201db1a37f4, 10, 0
32, 0b32beb0-2191-5ac8-a2a6-07ba09ac6543, 10, 0
97, 1d1d1222-3b2b-5aa0-ada6-f384bb042f63, 21600, 42
258, 54d7a17f-fd03-5754-8549-4b8051ddb7a0, 21600, 17
287, 5da0a214-c405-547e-8544-f1fac24c7979, 21600, 98
446, 91df5682-6046-5614-b663-fe6715912f83, 10, 0
616, cc67fdae-a179-56e8-ba8d-56468ed1ade7, 10, 0
99, 1e01457c-edfd-5fd2-835d-7292d7a63c2f, 80, 0
341, 6e426bde-4484-5498-bb85-304b3e5b664e, 21600, 98
498, a2c995a7-d391-5d74-90df-7d46ebe42b35, 10, 0
600, c37b5cdd-c957-55f8-83fe-d28b3ce739e2, 10, 0
608, ca639b32-9f04-50dd-91a7-2920ecf4ec23, 21600, 2
0, 00122b92-1f8c-5102-a48b-4514fc2dcf87, 30, 0
122, 2756465d-6ff2-51a7-9ff9-e2af5d2ae727, 10, 0
128, 27f4f0ee-4235-50e1-8658-83c81b72dd94, 10, 0
161, 32dc12d4-866e-53b6-ac17-b6a58664b67c, 21600, 2
347, 70127be5-aa21-5821-b736-2407045d6585, 1680, 0
406, 8511543e-a44f-5efd-b294-bec31a3bb442, 10, 0
470, 9aa3ec67-1d9d-505d-8165-fb893719a121, 10, 0
531, acbbcc52-0a6e-5165-b807-9ca47a672048, 30, 0
643, d46e9147-74e3-5f44-b8ac-f7c4b4e55f61, 21600, 2
137, 2b010d14-a3ee-5024-bedb-4a4ddf427fda, 21600, 3
218, 45f5a8ce-e028-558d-a56b-1988c81a4ea7, 10, 0
232, 4bc9d894-27d8-5d43-b14a-72afb12f7489, 21600, 4
359, 72fe8a56-51a7-510a-b4ae-ca79d481cbdb, 830, 0
553, b59d9afa-0158-58e1-9c9f-170c4df64f90, 21600, 2
690, e35a51a2-02c5-5091-8f16-430420005477, 21600, 3
265, 55ffe6d8-0001-522d-a313-9e0969eaaf64, 21600, 3
281, 5d18b49b-4cfd-507f-8631-ed15558e5b06, 21600, 42
489, 9f8a1a58-d824-5302-9ef4-78c2310ccb3f, 10, 0
530, acb32a3f-97f7-51c4-af08-5780a71b9217, 21600, 3
667, dc399259-5f62-592a-8665-64eded33ae14, 20, 0
733, f646a8b8-8e09-5224-88a7-8ddd4c90ee90, 530, 0
88, 196ee876-d675-5495-9330-a98f6a237d11, 10, 0
125, 276ce7a7-438b-5139-ad5c-1400bd9a20a4, 10, 0
191, 3b8b6f16-0475-5fa8-bb76-c14e16b3297c, 170, 0
370, 7826486b-a739-59ae-aab3-5752c6d73d34, 21600, 4
416, 86bd2e53-67d6-5421-ad12-50f3f1fd04ec, 21600, 2
434, 8d30568e-5b69-53a5-bc52-f47ba0ec6ccd, 21600, 14
641, d3c3bb7a-73e3-5805-b5c0-eb526ecbd8b2, 21600, 98
81, 18de5388-1f9a-538e-9cfe-c501151c179b, 10, 0
451, 92d6c01f-320e-587e-8704-59de0cd58a4d, 21600, 42
466, 98c3925a-b586-5a8e-9f87-375306b02810, 250, 0
507, a54833f9-c060-53f5-834e-a96b454002da, 21600, 25
573, bab4f92f-7018-5306-8767-d32f6ab88201, 21600, 2
613, caf77a7d-8780-52af-b453-22ecf4b6b82c, 21600, 25
696, e5bc29a2-a724-508c-bc59-18374cef5845, 740, 0
7, 028fefaf-31c2-57ea-b3a9-2ab363fe76d6, 20, 0
58, 10fee283-d686-513d-bc7f-a1f95a8b4cd7, 10, 0
395, 82ff2a62-5abd-58ea-bb4e-657e792548f4, 20, 0
629, d02b301a-5e5c-52bd-a6a9-2cf30e4b319e, 970, 0
231, 4b63990e-740e-568c-b94d-0d4e415ff7f6, 21600, 42
277, 5c52cb2c-59ee-5ad0-8e7a-3012c748675d, 10, 0
246, 4ff3cdc5-a0a3-51e2-a7df-4fa4b5f68899, 3100, 0
276, 5b8c9844-678f-53a0-96ed-6e14124ace30, 21600, 42
683, e1089ee5-f191-5d13-9ee7-080af7dcbfc3, 10, 0
234, 4d2f948f-2d10-567a-93ed-55c06c238f89, 90, 0
549, b4d25d94-07cb-5e91-bc59-e2e08e17f9c2, 120, 0
575, bb62207e-8d31-56fd-b94c-bd899c579d83, 280, 0
595, c1a03217-2a52-50b7-94fd-0d06f19ca59c, 6970, 0
666, dbb73b25-49bb-5c29-a002-c26238838c1a, 21600, 17
457, 94af4d55-7551-590f-9f02-11d1bd9a9cef, 10, 0
535, ad6d0013-5eeb-5466-9dbd-434a3da46a84, 10, 0
697, e610de02-2576-5d25-b748-8fb67605c0fb, 230, 0
188, 3b3b8bd1-baf2-5694-93be-3f17e4622975, 10, 0
